"","time","S","I","R","Total","Diff_S","Diff_I","Diff_R","Diff_Total"
"74",74,56.5574711287359,17.838793355786,25.6037355154781,43.4425288712641,-23.4428030345987,12.2067686963838,11.2360343382148,23.4428030345986
"75",75,54.900679791334,17.7169819628749,27.3823382457911,45.099320208666,-24.6354297813081,12.1788016090238,12.4566281722843,24.635429781308
"76",76,53.3525965413372,17.5033331470389,29.1440703116239,46.6474034586628,-25.6689496684541,12.0021166435651,13.666833024889,25.668949668454
"77",77,51.9100017483949,17.2096607095004,30.8803375421048,48.0899982516051,-26.5499432275024,11.6971678095187,14.8527754179837,26.5499432275023
"78",78,50.5685754365119,16.847697981438,32.5837265820501,49.4314245634882,-27.2890365850768,11.2862986804744,16.0027379046023,27.2890365850767
"79",79,49.3232786902838,16.4287431853516,34.2479781243646,50.6767213097162,-27.8992819838953,10.7920235138027,17.1072584700926,27.8992819838953
"80",80,48.1686565019919,15.9634132317162,35.8679302662919,51.8313434980081,-28.3948444974587,10.2357638574619,18.1590806399968,28.3948444974586
"81",81,47.0990704695893,15.461487634822,37.4394418955887,52.9009295304107,-28.7900184310449,9.63701909361969,19.1529993374252,28.7900184310448
"82",82,46.1088717968716,14.93182399417,38.9593042089584,53.8911282031284,-29.0985473357356,9.01290452877891,20.0856428069566,29.0985473357355
"83",83,45.1925254400286,14.3823279333768,40.4251466265945,54.8074745599714,-29.3331971245664,8.37797383868276,20.9552232858836,29.3331971245663
"84",84,44.3446954396286,13.8199627572468,41.8353418031247,55.6553045603714,-29.5055247834759,7.74424408534867,21.7612806981272,29.5055247834758
"85",85,43.5603002244171,13.2507867040503,43.1889130715326,56.4396997755829,-29.6257886904874,7.12135270166906,22.5044359888183,29.6257886904873
"86",86,42.8345452213735,12.6800081951866,44.4854465834399,57.1654547786265,-29.7029550271741,6.51679065423114,23.1861643729429,29.702955027174
"87",87,42.1629387145842,12.1120517268458,45.7250095585701,57.8370612854158,-29.7447646778861,5.93617073202753,23.8085939458585,29.744764677886
"88",88,41.5412956420319,11.5506289368933,46.9080754210749,58.4587043579681,-29.7578343481802,5.38350269236591,24.3743316558142,29.7578343481801
"89",89,40.9657329566161,10.9988109117249,48.0354561316591,59.034267043384,-29.7477735086109,4.86145716365532,24.8863163449555,29.7477735086108
"90",90,40.43265930398,10.4590990016177,49.1082416944023,59.56734069602,-29.7193049432186,4.37160778855093,25.3476971546676,29.7193049432185
"91",91,39.9387610717387,9.93349233630247,50.1277465919589,60.0612389282613,-29.6763812684337,3.91464644389597,25.7617348245377,29.6763812684336
"92",92,39.4809863177205,9.42355092384059,51.095462758439,60.5190136822796,-29.6222930454346,3.49056995564592,26.1317230897886,29.6222930454345
"93",93,39.0565276635384,8.93045372226184,52.0130186141998,60.9434723364616,-29.559766328316,3.09883898221664,26.4609273460993,29.5597663283159
